Designator,Footprint,Mid X,Mid Y,Rotation,Layer
BZ1,PUIAudio_SMT_0825_S_4_R,167,-41,0,top
C1,C_0603_1608Metric,12,-32,0,top
C2,C_0402_1005Metric,23.3,-14,0,top
C3,C_0402_1005Metric,32.64,-25.5,0,top
C4,C_0603_1608Metric,30,-25,0,top
C5,C_0603_1608Metric,40,-25,0,top
C6,C_0603_1608Metric,52,-30,0,top
C7,C_0402_1005Metric,46.5,-25,0,top
C8,C_0402_1005Metric,48.85,-29.16,0,top
C20,C_0402_1005Metric,61.8,-9.8,0,top
C21,C_0402_1005Metric,66,-9.8,0,top
C22,C_0402_1005Metric,75.6,-8,0,top
C30,C_0402_1005Metric,61.8,-21.8,0,top
C31,C_0402_1005Metric,66,-21.8,0,top
C32,C_0402_1005Metric,75.6,-20,0,top
C40,C_0402_1005Metric,61.8,-33.8,0,top
C41,C_0402_1005Metric,66,-33.8,0,top
C42,C_0402_1005Metric,75.6,-32,0,top
C50,C_0402_1005Metric,61.8,-45.8,0,top
C51,C_0402_1005Metric,66,-45.8,0,top
C52,C_0402_1005Metric,75.6,-44,0,top
C60,C_0402_1005Metric,210.68,-14.5,0,top
C61,C_0402_1005Metric,158,-6.8,0,top
C62,C_0402_1005Metric,160,-42.5,0,top
C63,C_0402_1005Metric,175,-39.6,0,top
C201,C_0402_1005Metric,112.6004,-32.7644,0,top
C202,C_0402_1005Metric,123.0804,-19.6488,0,top
C203,C_0402_1005Metric,118.0624,-17.293,0,top
C204,C_0402_1005Metric,114.3065,-17.146,0,top
FB1,L_0603_1608Metric,147.5,-25,0,top
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,6,-25,0,top
J2,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,8,-40,0,top
J3,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,81,-46.5,180,top
J4,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,109,-46.5,180,top
J5,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,125,-46.5,180,top
J6,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,141,-46.5,180,top
J7,PinHeader_1x06_P2.54mm_Vertical,152,-5,0,top
L1,L_1210_3225Metric,45,-15,0,top
LED1,LED_0402_1005Metric,152,-48,0,top
LED2,LED_0402_1005Metric,156,-48,0,top
LED3,LED_0402_1005Metric,160,-48,0,top
R1,R_0402_1005Metric,3,-31,0,top
R2,R_0402_1005Metric,7,-31,0,top
R3,R_0402_1005Metric,24,-12,0,top
R5,R_0402_1005Metric,35,-20,0,top
R6,R_0402_1005Metric,35,-30,0,top
R20,R_0402_1005Metric,61.8,-6.2,0,top
R21,R_0402_1005Metric,66,-6.2,0,top
R22,R_0402_1005Metric,69.9,-4,0,top
R23,R_0402_1005Metric,74.1,-4,0,top
R24,R_0402_1005Metric,72,-12,0,top
R30,R_0402_1005Metric,61.8,-18.2,0,top
R31,R_0402_1005Metric,66,-18.2,0,top
R32,R_0402_1005Metric,69.9,-16,0,top
R33,R_0402_1005Metric,74.1,-16,0,top
R34,R_0402_1005Metric,72,-24,0,top
R40,R_0402_1005Metric,61.8,-30.2,0,top
R41,R_0402_1005Metric,66,-30.2,0,top
R42,R_0402_1005Metric,69.9,-28,0,top
R43,R_0402_1005Metric,74.1,-28,0,top
R44,R_0402_1005Metric,72,-36,0,top
R50,R_0402_1005Metric,61.8,-42.2,0,top
R51,R_0402_1005Metric,66,-42.2,0,top
R52,R_0402_1005Metric,69.9,-40,0,top
R53,R_0402_1005Metric,74.1,-40,0,top
R54,R_0402_1005Metric,72,-48,0,top
R60,R_0402_1005Metric,152,-44,0,top
R61,R_0402_1005Metric,156,-44,0,top
R62,R_0402_1005Metric,160,-44,0,top
R63,R_0402_1005Metric,167,-35,0,top
R64,R_0402_1005Metric,209,-13,0,top
R65,R_0402_1005Metric,196,-37,0,top
R66,R_0402_1005Metric,165,-15,0,top
R67,R_0402_1005Metric,165,-18,0,top
R68,R_0402_1005Metric,178,-38,0,top
R199,R_0402_1005Metric,95,-35,0,top
U1,SOT-23-5,20,-15,0,top
U3,SOT-563,35,-25,0,top
U4,SOT-223,52,-25,0,top
U5,LFCSP-20-1EP_4x4mm_P0.5mm_EP2.1x2.1mm,72,-8,0,top
U6,LFCSP-20-1EP_4x4mm_P0.5mm_EP2.1x2.1mm,72,-20,0,top
U7,LFCSP-20-1EP_4x4mm_P0.5mm_EP2.1x2.1mm,72,-32,0,top
U8,LFCSP-20-1EP_4x4mm_P0.5mm_EP2.1x2.1mm,72,-44,0,top
U9,TQFP-64_10x10mm_P0.5mm,115,-25,0,top
U10,MSOP-8_3x3mm_P0.65mm,95,-38,0,top
U11,WIFIM-SMD_ESP32-S3-WROOM-1-N8,203,-25,90,top
U12,LGA28R50P4X10_380X520X100,160,-10,0,top
U13,DRV2605LYZFR_DSBGA9,160,-40,0,top
U14,BGA9N40P3X3_134X143X69N,175,-42,0,top
