Designator,Footprint,Quantity,Designation,LCSC Part Number
"R20,R23,R21,R43,R53,R22,R32,R51,R30,R52,R42,R50,R31,R41,R40,R33",R_0402_1005Metric,16,10M,C25791
"C3,C61,C7,C32,C22,C2,C42,C201,C203,C62,C8,C52,C60,C204,C63,C202",C_0402_1005Metric,16,100nF,C1525
U1,SOT-23-5,1,MCP73831T-2ACI/OT,C424093
"R61,R63,R60,R62",R_0402_1005Metric,4,1k,C25879
J6,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,Electrode_CH4,C160403
"C21,C31,C51,C40,C20,C30,C41,C50",C_0402_1005Metric,8,10nF,C1514
LED2,LED_0402_1005Metric,1,LED_GREEN,C82914
U14,BGA9N40P3X3_134X143X69N,1,MAX98357AEWL+T,C2682619
U13,DRV2605LYZFR_DSBGA9,1,DRV2605LYZFR,C2869341
"R65,R3,R64",R_0402_1005Metric,3,10k,C25744
"C4,C5,C6,C1",C_0603_1608Metric,4,10uF,C19702
LED3,LED_0402_1005Metric,1,LED_BLUE,C82912
R6,R_0402_1005Metric,1,20k,C25769
U3,SOT-563,1,TPS61023DRLR,C919459
U9,TQFP-64_10x10mm_P0.5mm,1,ADS1299IPAGR,C476817
L1,L_1210_3225Metric,1,2.2uH,C168388
U10,MSOP-8_3x3mm_P0.65mm,1,INA333AIDGKR,C19450
"R54,R24,R34,R44",R_0402_1005Metric,4,330k,C25821
"U6,U8,U5,U7",LFCSP-20-1EP_4x4mm_P0.5mm_EP2.1x2.1mm,4,AD8232ACPZ-R7,C43216
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_Power,C165948
"R66,R67",R_0402_1005Metric,2,4.7k,C25900
U4,SOT-223,1,AMS1117-3.3,C6186
"R2,R1",R_0402_1005Metric,2,5.1k,C25917
"R68,R199",R_0402_1005Metric,2,100k,C25741
J5,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,Electrode_CH3,C160403
J7,PinHeader_1x06_P2.54mm_Vertical,1,PROG_HEADER,C37208
LED1,LED_0402_1005Metric,1,LED_RED,C128834
J3,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,Electrode_CH1,C160403
FB1,L_0603_1608Metric,1,BLM18PG601SN1D,C19330
U12,LGA28R50P4X10_380X520X100,1,BNO055BST,C93216
R5,R_0402_1005Metric,1,40k,C25832
J4,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,Electrode_CH2,C160403
J2,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Battery_JST_PH_2p,C265016
BZ1,PUIAudio_SMT_0825_S_4_R,1,BUZZER_SMD_5V,C2763261
U11,WIFIM-SMD_ESP32-S3-WROOM-1-N8,1,ESP32-S3-WROOM-1-N8,C2913198
